,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
66,36,2,1195,Research & Development,11,3,Life Sciences,85,2,1,95,2,2,Manufacturing Director,2,1,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0
689,20,1,129,Research & Development,4,3,Technical Degree,960,1,1,84,3,1,Laboratory Technician,1,1,2973,13008,1,0,19,3,2,0,1,2,3,1,0,0,0,1
967,40,1,329,Research & Development,1,4,Life Sciences,1361,2,1,88,3,1,Laboratory Technician,2,2,2387,6762,3,0,22,4,3,1,7,3,3,4,2,0,3,0
1297,26,1,920,Human Resources,20,2,Medical,1818,4,0,69,3,1,Human Resources,2,2,2148,6889,0,1,11,3,3,0,6,3,3,5,1,1,4,1
721,50,1,939,Research & Development,24,3,Life Sciences,1005,4,1,95,3,4,Manufacturing Director,3,2,13973,4161,3,1,18,3,4,1,22,2,3,12,11,1,5,0
218,45,0,1052,Sales,6,3,Medical,302,4,0,57,2,3,Sales Executive,4,1,8865,16840,6,0,12,3,4,0,23,2,3,19,7,12,8,0
873,36,1,917,Research & Development,6,4,Life Sciences,1221,3,1,60,1,1,Laboratory Technician,3,1,2741,6865,1,0,14,3,3,1,7,4,3,7,7,1,7,0
608,55,1,436,Sales,2,1,Medical,842,3,1,37,3,2,Sales Executive,4,1,5160,21519,4,0,16,3,3,0,12,3,2,9,7,7,3,1
1022,37,0,1413,Research & Development,5,2,Technical Degree,1440,3,1,84,4,1,Laboratory Technician,3,1,3500,25470,0,0,14,3,1,0,7,2,1,6,5,1,3,0
704,35,1,882,Sales,3,4,Life Sciences,984,4,1,92,3,3,Sales Executive,4,1,7823,6812,6,0,13,3,2,1,12,2,3,10,9,0,8,0
884,40,1,107,Sales,10,3,Technical Degree,1239,2,0,84,2,2,Sales Executive,2,1,6852,11591,7,0,12,3,2,1,7,2,4,5,1,1,3,0
1303,47,1,1001,Research & Development,4,3,Life Sciences,1827,3,0,92,2,3,Manufacturing Director,2,1,10333,19271,8,1,12,3,3,1,28,4,3,22,11,14,10,0
364,37,1,921,Research & Development,10,3,Medical,486,3,0,98,3,1,Laboratory Technician,1,2,3452,17663,6,0,20,4,2,1,17,3,3,5,4,0,3,0
295,42,2,555,Sales,26,3,Marketing,404,3,0,77,3,4,Sales Executive,2,2,13525,14864,5,0,14,3,4,1,23,2,4,20,4,4,8,0
1346,45,1,556,Research & Development,25,2,Life Sciences,1888,2,0,93,2,2,Manufacturing Director,4,2,5906,23888,0,0,13,3,4,2,10,2,2,9,8,3,8,0
828,18,0,247,Research & Development,8,1,Medical,1156,3,1,80,3,1,Laboratory Technician,3,1,1904,13556,1,0,12,3,4,0,0,0,3,0,0,0,0,1
1184,54,1,584,Research & Development,22,5,Medical,1665,2,0,91,3,4,Manager,3,2,17426,18685,3,0,25,4,3,1,36,6,3,10,8,4,7,0
1025,24,1,1476,Sales,4,1,Medical,1445,4,0,42,3,2,Sales Executive,3,2,4162,15211,1,1,12,3,3,2,5,3,3,5,4,0,3,0
546,29,1,1396,Sales,10,3,Life Sciences,749,3,1,99,3,1,Sales Representative,3,1,2642,2755,1,0,11,3,3,0,1,6,3,1,0,0,0,0
229,29,1,896,Research & Development,18,1,Medical,315,3,1,86,2,1,Research Scientist,4,1,2389,14961,1,1,13,3,3,0,4,3,2,4,3,0,1,1
1012,31,2,667,Sales,1,4,Life Sciences,1427,2,0,50,1,1,Sales Representative,3,1,1359,16154,1,0,12,3,2,0,1,3,3,1,0,0,0,1
1440,36,2,688,Research & Development,4,2,Life Sciences,2025,4,0,97,3,2,Manufacturing Director,2,1,5131,9192,7,0,13,3,2,3,18,3,3,4,2,0,2,0
268,45,1,1385,Research & Development,20,2,Medical,372,3,1,79,3,4,Healthcare Representative,4,2,13496,7501,0,1,14,3,2,0,21,2,3,20,7,4,10,0
1,49,2,279,Research & Development,8,1,Life Sciences,2,3,1,61,2,2,Research Scientist,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,0
1406,54,1,157,Research & Development,10,3,Medical,1980,3,0,77,3,2,Manufacturing Director,1,1,4440,25198,6,1,19,3,4,0,9,3,3,5,2,1,4,0
662,20,1,500,Sales,2,3,Medical,922,3,0,49,2,1,Sales Representative,3,1,2044,22052,1,0,13,3,4,0,2,3,2,2,2,0,2,1
693,36,1,530,Sales,3,1,Life Sciences,967,3,1,51,2,3,Sales Executive,4,2,10325,5518,1,1,11,3,1,1,16,6,3,16,7,3,7,1
296,18,1,230,Research & Development,3,3,Life Sciences,405,3,1,54,3,1,Laboratory Technician,3,1,1420,25233,1,0,13,3,3,0,0,2,3,0,0,0,0,1
905,29,1,694,Research & Development,1,3,Life Sciences,1264,4,0,87,2,4,Research Director,4,1,16124,3423,3,0,14,3,2,2,9,2,2,7,7,1,7,0
1140,44,1,1313,Research & Development,7,3,Medical,1608,2,0,31,3,5,Research Director,4,1,19049,3549,0,1,14,3,4,1,23,4,2,22,7,1,10,0
1198,33,0,530,Sales,16,3,Life Sciences,1681,3,0,36,3,2,Sales Executive,4,1,5368,16130,1,1,25,4,3,1,7,2,3,6,5,1,2,0
550,23,1,650,Research & Development,9,1,Medical,758,2,1,37,3,1,Laboratory Technician,1,2,2500,4344,1,0,14,3,4,1,5,2,4,4,3,0,2,0
1234,47,0,543,Sales,2,4,Marketing,1731,3,1,87,3,2,Sales Executive,2,2,4978,3536,7,0,11,3,4,1,4,3,1,1,0,0,0,0
859,29,1,942,Research & Development,15,1,Life Sciences,1202,2,0,69,1,1,Research Scientist,4,2,2168,26933,0,1,18,3,1,1,6,2,2,5,4,1,3,0
1304,40,1,750,Research & Development,12,3,Life Sciences,1829,2,0,47,3,2,Healthcare Representative,1,1,4448,10748,2,0,12,3,2,1,15,3,3,7,4,7,7,0
824,42,1,188,Research & Development,29,3,Medical,1148,2,1,56,1,2,Laboratory Technician,4,1,4272,9558,4,0,19,3,1,0,16,3,3,1,0,0,0,0
701,53,1,1376,Sales,2,2,Medical,981,3,1,45,3,4,Manager,3,1,14852,13938,6,0,13,3,3,1,22,3,4,17,13,15,2,0
1403,39,1,119,Sales,15,4,Marketing,1975,2,1,77,3,4,Sales Executive,1,1,13341,25098,0,0,12,3,1,0,21,3,3,20,8,11,10,0
217,29,1,992,Research & Development,1,3,Technical Degree,300,3,1,85,3,1,Research Scientist,3,1,2058,19757,0,0,14,3,4,0,7,1,2,6,2,1,5,1
785,40,1,1492,Research & Development,20,4,Technical Degree,1092,1,1,61,3,3,Healthcare Representative,4,2,10322,26542,4,0,20,4,4,1,14,6,3,11,10,11,1,0
481,34,1,254,Research & Development,1,2,Life Sciences,649,2,1,83,2,1,Research Scientist,4,2,3622,22794,1,1,13,3,4,1,6,3,3,6,5,1,3,0
695,37,1,625,Sales,1,4,Life Sciences,970,1,1,46,2,3,Sales Executive,3,2,10609,14922,5,0,11,3,3,0,17,2,1,14,1,11,7,1
506,37,1,482,Research & Development,3,3,Other,689,3,1,36,3,3,Manufacturing Director,3,2,9434,9606,1,0,15,3,3,1,10,2,3,10,7,7,8,0
297,35,1,1232,Sales,16,3,Marketing,406,3,1,96,3,3,Sales Executive,2,2,8020,5100,0,0,15,3,3,2,12,3,2,11,9,6,9,0
89,46,1,669,Sales,9,2,Medical,118,3,1,64,2,3,Sales Executive,4,1,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,1
530,27,1,608,Research & Development,1,2,Life Sciences,725,3,0,68,3,3,Manufacturing Director,1,2,7412,6009,1,0,11,3,4,0,9,3,3,9,7,0,7,0
230,52,1,1323,Research & Development,2,3,Life Sciences,316,3,0,89,2,1,Laboratory Technician,4,1,3212,3300,7,0,15,3,2,0,6,3,2,2,2,2,2,0
1423,22,1,581,Research & Development,1,2,Life Sciences,2007,4,1,63,3,1,Research Scientist,3,1,3375,17624,0,0,12,3,4,0,4,2,4,3,2,1,2,0
643,42,1,1265,Research & Development,3,3,Life Sciences,894,3,0,95,4,2,Laboratory Technician,4,2,5231,23726,2,1,13,3,2,1,17,1,2,5,3,1,3,0
734,22,1,217,Research & Development,8,1,Life Sciences,1019,2,1,94,1,1,Laboratory Technician,1,2,2451,6881,1,0,15,3,1,1,4,3,2,4,3,1,1,0
416,38,2,1490,Research & Development,2,2,Life Sciences,556,4,1,42,3,1,Laboratory Technician,4,2,1702,12106,1,1,23,4,3,1,1,3,3,1,0,0,0,0
37,35,1,890,Sales,2,3,Marketing,49,4,0,97,3,1,Sales Representative,4,2,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,0
795,37,1,309,Sales,10,4,Life Sciences,1105,4,0,88,2,2,Sales Executive,4,1,6694,24223,2,1,14,3,3,3,8,5,3,1,0,0,0,0
1273,22,1,1294,Research & Development,8,1,Medical,1783,3,0,79,3,1,Laboratory Technician,1,2,2398,15999,1,1,17,3,3,0,1,6,3,1,0,0,0,1
1166,48,2,365,Research & Development,4,5,Medical,1644,3,1,89,2,4,Manager,4,2,15202,5602,2,0,25,4,2,1,23,3,3,2,2,2,2,0
291,36,1,506,Research & Development,3,3,Technical Degree,397,3,1,30,3,2,Research Scientist,2,1,4485,26285,4,0,12,3,4,0,10,2,3,8,0,7,7,0
1220,36,1,530,Sales,2,4,Life Sciences,1710,3,0,51,3,2,Sales Representative,4,1,4502,7439,3,0,15,3,3,0,17,2,2,13,7,6,7,0
1457,40,1,1194,Research & Development,2,4,Medical,2051,3,0,98,3,1,Research Scientist,3,2,2001,12549,2,0,14,3,2,3,20,2,3,5,3,0,2,0
94,32,1,1093,Sales,6,4,Medical,125,2,1,87,3,2,Sales Executive,3,1,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0
1318,29,2,574,Research & Development,20,1,Medical,1852,4,1,40,3,1,Laboratory Technician,4,2,3812,7003,1,0,13,3,2,0,11,3,4,11,8,3,10,0
569,36,0,1434,Sales,8,4,Life Sciences,789,1,1,76,2,3,Sales Executive,1,1,7587,14229,1,0,15,3,2,0,10,1,3,10,7,0,9,0
907,44,1,1099,Sales,5,3,Marketing,1267,2,1,88,3,5,Manager,2,2,18213,8751,7,0,11,3,3,1,26,5,3,22,9,3,10,0
60,32,1,427,Research & Development,1,3,Medical,78,1,1,33,3,2,Manufacturing Director,4,2,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,0
814,40,1,1308,Research & Development,14,3,Medical,1128,3,1,44,2,5,Research Director,3,1,19626,17544,1,0,14,3,1,0,21,2,4,20,7,4,9,0
21,36,1,1218,Sales,9,4,Life Sciences,27,3,1,82,2,1,Sales Representative,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,1
698,35,1,1219,Sales,18,3,Medical,975,3,0,86,3,2,Sales Executive,3,2,4601,6179,1,0,16,3,2,0,5,3,3,5,2,1,0,0
1245,24,2,897,Human Resources,10,3,Medical,1746,1,1,59,3,1,Human Resources,4,2,2145,2097,0,0,14,3,4,1,3,2,3,2,2,2,1,0
1248,27,1,1054,Research & Development,8,3,Medical,1751,3,0,67,3,1,Research Scientist,4,1,3445,6152,1,0,11,3,3,0,6,5,2,6,2,1,4,0
452,45,1,561,Sales,2,3,Other,606,4,1,61,3,2,Sales Executive,2,2,4805,16177,0,0,19,3,2,1,9,3,4,8,7,3,7,0
960,41,2,1018,Sales,1,3,Marketing,1349,3,0,66,3,2,Sales Executive,1,1,4103,4297,0,0,17,3,4,1,10,2,3,9,3,1,7,0
590,33,1,213,Research & Development,7,3,Medical,817,3,1,49,3,3,Research Director,3,2,11691,25995,0,0,11,3,4,0,14,3,4,13,9,3,7,0
501,30,2,160,Research & Development,3,3,Medical,680,3,0,71,3,1,Research Scientist,3,1,2083,22653,1,0,20,4,3,1,1,2,3,1,0,0,0,0
602,30,1,946,Research & Development,2,3,Medical,833,3,0,52,2,2,Manufacturing Director,4,1,6877,20234,5,1,24,4,2,0,12,4,2,0,0,0,0,0
386,37,1,1107,Research & Development,14,3,Life Sciences,515,4,0,95,3,1,Laboratory Technician,1,1,3034,26914,1,0,12,3,3,1,18,2,2,18,7,12,17,0
41,27,1,1240,Research & Development,2,4,Life Sciences,54,4,0,33,3,1,Laboratory Technician,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,0
796,25,1,1219,Research & Development,4,1,Technical Degree,1106,4,1,32,3,1,Laboratory Technician,4,2,3691,4605,1,1,15,3,2,1,7,3,4,7,7,5,6,1
84,34,1,1153,Research & Development,1,2,Medical,110,1,1,94,3,2,Manufacturing Director,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,0
927,36,1,429,Research & Development,2,4,Life Sciences,1294,3,0,53,3,2,Manufacturing Director,2,1,5410,2323,9,1,11,3,4,0,18,2,3,16,14,5,12,0
220,36,1,1396,Research & Development,5,2,Life Sciences,304,4,1,62,3,2,Laboratory Technician,2,1,5914,9945,8,0,16,3,4,0,16,3,4,13,11,3,7,0
741,42,1,265,Sales,5,2,Marketing,1029,4,1,90,3,5,Manager,3,2,18303,7770,6,0,13,3,2,0,21,3,4,1,0,0,0,0
1376,38,1,1206,Research & Development,9,2,Life Sciences,1940,2,1,71,3,1,Research Scientist,4,1,4771,14293,2,0,19,3,4,2,10,0,4,5,2,0,3,0
803,34,0,697,Research & Development,3,4,Life Sciences,1115,3,1,40,2,1,Research Scientist,4,2,2979,22478,3,0,17,3,4,3,6,2,3,0,0,0,0,0
1377,49,2,1064,Research & Development,2,1,Life Sciences,1941,2,1,42,3,5,Research Director,4,2,19161,13738,3,0,15,3,4,0,28,3,3,5,4,4,3,0
351,32,1,1062,Research & Development,2,3,Medical,471,3,0,75,3,1,Laboratory Technician,2,2,2370,3956,1,0,13,3,3,1,8,4,3,8,0,0,7,0
686,41,1,263,Research & Development,6,3,Medical,957,4,1,59,3,1,Laboratory Technician,1,1,4721,3119,2,1,13,3,3,0,20,3,3,18,13,2,17,0
1046,44,1,1467,Research & Development,20,3,Life Sciences,1475,4,1,49,3,1,Research Scientist,2,1,3420,21158,1,0,13,3,3,0,6,3,2,5,2,1,3,0
116,34,1,1354,Research & Development,5,3,Medical,153,3,0,45,2,3,Manager,1,1,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,0
425,50,1,1099,Research & Development,29,4,Life Sciences,569,2,1,88,2,4,Manager,3,2,17046,9314,0,0,15,3,2,1,28,2,3,27,10,15,7,0
489,43,1,782,Research & Development,6,4,Other,661,2,1,50,2,4,Research Director,4,1,16627,2671,4,1,14,3,3,1,21,3,2,1,0,0,0,0
78,37,1,397,Research & Development,7,4,Medical,102,1,1,30,3,3,Research Director,3,1,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0
80,30,1,852,Research & Development,1,1,Life Sciences,104,4,1,55,2,2,Laboratory Technician,4,2,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,0
724,24,1,1206,Research & Development,17,1,Medical,1009,4,0,41,2,2,Manufacturing Director,3,1,4377,24117,1,0,15,3,2,2,5,6,3,4,2,3,2,0
1217,24,1,581,Research & Development,9,3,Medical,1707,3,1,62,4,1,Research Scientist,3,2,4401,17616,1,0,16,3,4,1,5,1,3,5,3,0,4,0
395,43,2,313,Research & Development,21,3,Medical,525,4,1,61,3,1,Laboratory Technician,4,2,2258,15238,7,0,20,4,1,1,8,1,3,3,2,1,2,0
637,32,0,300,Research & Development,1,3,Life Sciences,882,4,1,61,3,1,Laboratory Technician,4,1,2314,9148,0,0,12,3,2,1,4,2,3,3,0,0,2,0
252,29,1,665,Research & Development,15,3,Life Sciences,346,3,1,60,3,1,Research Scientist,4,1,2340,22673,1,0,19,3,1,0,6,1,3,6,5,1,5,0
22,34,1,419,Research & Development,7,4,Life Sciences,28,1,0,53,3,3,Research Director,2,1,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,0
17,22,0,1123,Research & Development,16,2,Medical,22,4,1,96,4,1,Laboratory Technician,4,1,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,0
1039,34,1,1107,Human Resources,9,4,Technical Degree,1467,1,0,52,3,1,Human Resources,3,2,2742,3072,1,0,15,3,4,0,2,0,3,2,2,2,2,1
835,35,1,528,Human Resources,8,4,Technical Degree,1164,3,1,100,3,1,Human Resources,3,1,4323,7108,1,0,17,3,2,0,6,2,1,5,4,1,4,0
1133,43,1,990,Research & Development,27,3,Technical Degree,1599,4,1,87,4,1,Laboratory Technician,2,1,4876,5855,5,0,12,3,3,1,8,0,3,6,4,0,2,0
1219,29,1,1082,Research & Development,9,4,Medical,1709,4,0,43,3,1,Laboratory Technician,3,2,2974,25412,9,0,17,3,3,1,9,2,3,5,3,1,2,0
1260,32,0,953,Research & Development,5,4,Technical Degree,1764,2,1,65,3,1,Research Scientist,2,1,2718,17674,2,0,14,3,2,0,12,3,3,7,7,0,7,0
419,30,0,1400,Research & Development,3,3,Life Sciences,562,3,1,53,3,1,Laboratory Technician,4,2,2097,16734,4,0,15,3,3,1,9,3,1,5,3,1,4,0
777,21,1,1334,Research & Development,10,3,Life Sciences,1079,3,0,36,2,1,Laboratory Technician,1,1,1416,17258,1,0,13,3,1,0,1,6,2,1,0,1,0,1
647,35,1,672,Research & Development,25,3,Technical Degree,899,4,1,78,2,3,Manufacturing Director,2,2,10903,9129,3,0,16,3,1,0,16,2,3,13,10,4,8,0
1193,38,2,148,Research & Development,2,3,Medical,1675,4,0,42,2,1,Laboratory Technician,2,1,2440,23826,1,0,22,4,2,0,4,3,3,4,3,3,3,0
630,22,1,1230,Research & Development,1,2,Life Sciences,872,4,1,33,2,2,Manufacturing Director,4,2,4775,19146,6,0,22,4,1,2,4,2,1,2,2,2,2,0
459,41,0,509,Research & Development,2,4,Other,616,1,0,62,2,2,Healthcare Representative,3,1,6811,2112,2,1,17,3,1,0,10,3,3,8,7,0,7,0
972,18,0,1124,Research & Development,1,3,Life Sciences,1368,4,0,97,3,1,Laboratory Technician,4,1,1611,19305,1,0,15,3,3,0,0,5,4,0,0,0,0,0
199,38,1,1084,Research & Development,29,3,Technical Degree,273,4,1,54,3,2,Manufacturing Director,4,2,6261,4185,3,0,18,3,1,1,9,3,1,7,7,1,7,0
1257,31,1,1079,Sales,16,4,Marketing,1761,1,1,70,3,3,Sales Executive,3,2,8161,19002,2,0,13,3,1,3,10,2,3,1,0,0,0,1
428,47,1,983,Research & Development,2,2,Medical,574,1,0,65,3,2,Manufacturing Director,4,1,5070,7389,5,0,13,3,3,3,20,2,3,5,0,0,4,0
788,28,1,857,Research & Development,10,3,Other,1097,3,0,59,3,2,Research Scientist,3,1,3660,7909,3,0,13,3,4,0,10,4,4,8,7,1,7,0
804,48,0,1262,Research & Development,1,4,Medical,1116,1,1,35,4,4,Manager,4,1,16885,16154,2,0,22,4,3,0,27,3,2,5,4,2,1,0
1092,45,1,950,Research & Development,28,3,Technical Degree,1546,4,1,97,3,1,Research Scientist,4,2,2132,4585,4,0,20,4,4,1,8,3,3,5,4,0,3,0
52,44,1,1488,Sales,1,5,Marketing,68,2,0,75,3,2,Sales Executive,1,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,0
1449,32,1,529,Research & Development,2,3,Technical Degree,2038,4,1,78,3,1,Research Scientist,1,1,2439,11288,1,0,14,3,4,0,4,4,3,4,2,1,2,0
585,23,1,1243,Research & Development,6,3,Life Sciences,811,3,1,63,4,1,Laboratory Technician,1,2,1601,3445,1,1,21,4,3,2,1,2,3,0,0,0,0,1
446,41,0,267,Sales,10,2,Life Sciences,599,4,1,56,3,2,Sales Executive,4,1,6230,13430,7,0,14,3,4,0,16,3,3,14,3,1,10,0
371,29,1,1283,Research & Development,23,3,Life Sciences,495,4,1,54,3,1,Research Scientist,4,1,2201,18168,9,0,16,3,4,0,6,4,3,3,2,1,2,0
1091,33,1,575,Research & Development,25,3,Life Sciences,1545,4,1,44,2,2,Manufacturing Director,2,1,4320,24152,1,0,13,3,4,0,5,2,3,5,3,0,2,0
931,30,0,879,Research & Development,9,2,Medical,1298,3,0,72,3,2,Manufacturing Director,3,1,4695,12858,7,1,18,3,3,0,10,3,3,8,4,1,7,0
278,26,2,1479,Research & Development,1,3,Life Sciences,384,3,0,84,3,2,Manufacturing Director,2,1,6397,26767,1,0,20,4,1,1,6,6,1,6,5,1,4,0
1366,39,0,1251,Sales,21,4,Life Sciences,1929,1,0,32,1,2,Sales Executive,3,2,5736,3987,6,0,19,3,3,1,10,1,3,3,2,1,2,0
359,36,2,541,Sales,3,4,Medical,481,1,1,48,2,3,Sales Executive,4,2,9699,7246,4,0,11,3,1,1,16,2,3,13,9,1,12,0
1263,42,1,855,Research & Development,12,3,Medical,1768,2,1,57,3,1,Laboratory Technician,2,1,2766,8952,8,0,22,4,2,3,7,6,2,5,3,0,4,0
687,36,1,938,Research & Development,2,4,Medical,958,3,1,79,3,1,Laboratory Technician,3,1,2519,12287,4,0,21,4,3,0,16,6,3,11,8,3,9,0
1343,29,1,592,Research & Development,7,3,Life Sciences,1883,4,1,59,3,1,Laboratory Technician,1,1,2062,19384,3,0,14,3,2,0,11,2,3,3,2,1,2,0
1027,34,1,401,Research & Development,1,3,Life Sciences,1447,4,0,86,2,1,Laboratory Technician,2,2,3294,3708,5,0,17,3,1,1,7,2,2,5,4,0,2,0
1137,22,0,457,Research & Development,26,2,Other,1605,2,0,85,2,1,Research Scientist,3,2,2814,10293,1,1,14,3,2,0,4,2,2,4,2,1,3,0
404,28,1,1300,Research & Development,17,2,Medical,536,3,1,79,3,2,Laboratory Technician,1,1,4558,13535,1,0,12,3,4,1,10,2,3,10,0,1,8,0
1439,36,1,557,Sales,3,3,Medical,2024,1,0,94,2,3,Sales Executive,4,2,7644,12695,0,0,19,3,3,2,10,2,3,9,7,3,4,0
167,30,1,1339,Sales,5,3,Life Sciences,228,2,0,41,3,3,Sales Executive,4,2,9419,8053,2,0,12,3,3,1,12,2,3,10,9,7,4,0
389,37,1,1305,Research & Development,10,4,Life Sciences,518,3,1,49,3,2,Manufacturing Director,2,1,4197,21123,2,1,12,3,4,0,18,2,2,1,0,0,1,0
1396,53,1,1168,Sales,24,4,Life Sciences,1968,1,1,66,3,3,Sales Executive,1,1,10448,5843,6,1,13,3,2,0,15,2,2,2,2,2,2,1
147,41,2,857,Research & Development,10,3,Life Sciences,199,4,1,91,2,4,Manager,1,1,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7,0
1069,28,1,1423,Research & Development,1,3,Life Sciences,1506,1,1,72,2,1,Research Scientist,3,1,1563,12530,1,0,14,3,4,1,1,2,1,1,0,0,0,0
1138,50,2,1234,Research & Development,20,5,Medical,1606,2,1,41,3,4,Healthcare Representative,3,2,11245,20689,2,1,15,3,3,1,32,3,3,30,8,12,13,0
984,28,1,736,Sales,26,3,Life Sciences,1387,3,1,48,2,2,Sales Executive,1,2,4724,24232,1,0,11,3,3,1,5,0,3,5,3,0,4,0
257,40,1,1416,Research & Development,2,2,Medical,352,1,1,49,3,5,Research Director,3,1,19436,5949,0,0,19,3,4,1,22,5,3,21,7,3,9,0
46,34,0,1065,Sales,23,4,Marketing,60,2,1,72,3,2,Sales Executive,3,1,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,0
1019,36,1,329,Sales,16,4,Marketing,1436,3,0,98,2,2,Sales Executive,1,2,5647,13494,4,0,13,3,1,2,11,3,2,3,2,0,2,0
922,44,1,1199,Research & Development,4,2,Life Sciences,1288,3,1,92,4,5,Manager,1,1,19190,17477,1,0,14,3,4,2,26,4,2,25,9,14,13,0
1035,31,1,1398,Human Resources,8,2,Medical,1461,4,0,96,4,1,Human Resources,2,1,2109,24609,9,0,18,3,4,0,8,3,3,3,2,0,2,0
236,33,1,465,Research & Development,2,2,Life Sciences,328,1,0,39,3,1,Laboratory Technician,1,2,2707,21509,7,0,20,4,1,0,13,3,4,9,7,1,7,1
1116,55,1,685,Sales,26,5,Marketing,1578,3,1,60,2,5,Manager,4,2,19586,23037,1,0,21,4,3,1,36,3,3,36,6,2,13,0
864,41,0,906,Research & Development,5,2,Life Sciences,1210,1,1,95,2,1,Research Scientist,1,1,2107,20293,6,0,17,3,1,1,5,2,1,1,0,0,0,1
103,34,1,665,Research & Development,6,4,Other,138,1,0,41,3,2,Research Scientist,3,1,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,0
799,42,1,469,Research & Development,2,2,Medical,1109,4,1,35,3,4,Manager,1,2,17665,14399,0,0,17,3,4,1,23,3,3,22,6,13,7,0
413,42,2,1368,Research & Development,28,4,Technical Degree,551,4,0,88,2,2,Healthcare Representative,4,2,4523,4386,0,0,11,3,4,3,7,4,4,6,5,0,4,0
14,28,1,103,Research & Development,24,3,Life Sciences,19,3,1,50,2,1,Laboratory Technician,3,1,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,1
933,28,1,640,Research & Development,1,3,Technical Degree,1301,4,1,84,3,1,Research Scientist,1,1,2080,4732,2,0,11,3,2,0,5,2,2,3,2,1,2,0
1364,28,2,783,Sales,1,2,Life Sciences,1927,3,1,42,2,2,Sales Executive,4,2,6834,19255,1,1,12,3,3,1,7,2,3,7,7,0,7,0
1393,27,1,954,Sales,9,3,Marketing,1965,4,1,44,3,2,Sales Executive,4,1,4105,5099,1,0,14,3,1,0,7,5,3,7,7,0,7,0
300,41,1,334,Sales,2,4,Life Sciences,410,4,1,88,3,4,Manager,2,1,16015,15896,1,0,19,3,2,0,22,2,3,22,10,0,4,0
656,32,1,374,Research & Development,25,4,Life Sciences,911,1,1,87,3,1,Laboratory Technician,4,1,2795,18016,1,1,24,4,3,0,1,2,1,1,0,0,1,1
51,28,1,1434,Research & Development,5,4,Technical Degree,65,3,1,50,3,1,Laboratory Technician,3,1,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,1
1142,45,1,1015,Research & Development,5,5,Medical,1611,3,0,50,1,2,Laboratory Technician,1,1,5769,23447,1,1,14,3,1,0,10,3,3,10,7,1,4,0
1028,41,1,1283,Research & Development,5,5,Medical,1448,2,1,90,4,1,Research Scientist,3,2,2127,5561,2,1,12,3,1,0,7,5,2,4,2,0,3,0
607,49,1,1184,Sales,11,3,Marketing,840,3,0,43,3,3,Sales Executive,4,2,7654,5860,1,0,18,3,1,2,9,3,4,9,8,7,7,1
584,42,2,570,Research & Development,8,3,Life Sciences,809,2,1,66,3,5,Manager,4,1,18430,16225,1,0,13,3,2,1,24,4,2,24,7,14,9,0
246,33,1,832,Research & Development,5,4,Life Sciences,338,3,0,63,2,1,Research Scientist,4,2,2911,14776,1,0,13,3,3,1,2,2,2,2,2,0,2,0
615,27,0,443,Research & Development,3,3,Medical,850,4,1,50,3,1,Research Scientist,4,2,1706,16571,1,0,11,3,3,3,0,6,2,0,0,0,0,0
1278,36,1,1383,Research & Development,10,3,Life Sciences,1790,4,1,90,3,3,Healthcare Representative,1,2,8321,25949,7,1,13,3,4,1,15,1,3,12,8,5,7,0
1148,39,1,1387,Research & Development,10,5,Medical,1618,2,1,76,3,2,Manufacturing Director,1,2,5377,3835,2,0,13,3,4,3,10,3,3,7,7,7,7,0
889,27,1,1103,Research & Development,14,3,Life Sciences,1244,1,1,42,3,1,Research Scientist,1,2,2235,14377,1,1,14,3,4,2,9,3,2,9,7,6,8,0
